code,name
1404402000,Bauko
1404403000,Besao
1404404000,Bontoc 
1404405000,Natonin
1404406000,Paracelis
1404407000,Sabangan
1404408000,Sadanga
1404409000,Sagada
1404410000,Tadian
1408101000,Calanasan
1408102000,Conner
1408103000,Flora
1408104000,Kabugao 
1408105000,Luna
1408106000,Pudtol
1408107000,Santa Marcela
1430300000,City of Baguio
1600201000,Buenavista
1600203000,City of Cabadbaran
1600204000,Carmen
1600205000,Jabonga
1600206000,Kitcharao
1600207000,Las Nieves
1600208000,Magallanes
1600209000,Nasipit
1600210000,Santiago
1600211000,Tubay
1600212000,Remedios T. Romualdez
1600301000,City of Bayugan
1600302000,Bunawan
1600303000,Esperanza
1600304000,La Paz
1600305000,Loreto
1600306000,Prosperidad 
1600307000,Rosario
1600308000,San Francisco
1600309000,San Luis
1600310000,Santa Josefa
1600311000,Talacogon
1600312000,Trento
1600313000,Veruela
1600314000,Sibagat
1606701000,Alegria
1606702000,Bacuag
1606704000,Burgos
1606706000,Claver
1606707000,Dapa
1606708000,Del Carmen
1606710000,General Luna
1606711000,Gigaquit
1606714000,Mainit
1606715000,Malimono
1606716000,Pilar
1606717000,Placer
